date,location,new_confirmed,new_deceased,new_recovered,total_confirmed,total_deceased
2021-03-08,US_NY,5440,64,0,1700348,47921
2021-03-08,US_NY_NYC,3399,68,0,647960,25072
2021-03-09,US_NY,6833,79,0,1707181,48000
2021-03-09,US_NY_NYC,3339,71,0,651299,25143
2021-03-10,US_NY,6106,92,0,1713287,48092
2021-03-10,US_NY_NYC,3203,62,0,654502,25205
2021-03-11,US_NY,7169,116,0,1720456,48208
2021-03-11,US_NY_NYC,3106,56,0,657608,25261
2021-03-12,US_NY,8444,69,0,1728900,48277
2021-03-12,US_NY_NYC,3203,73,0,660811,25334
2021-03-13,US_NY,6033,93,0,1734933,48370
2021-03-13,US_NY_NYC,2175,63,0,662986,25397
2021-03-14,US_NY,6687,105,0,1741620,48475
2021-03-14,US_NY_NYC,1923,40,0,664909,25437
2021-03-15,US_NY,7119,62,0,1748739,48537
2021-03-15,US_NY_NYC,3392,44,0,668301,25481
2021-03-16,US_NY,6711,87,0,1755450,48624
2021-03-16,US_NY_NYC,3196,65,0,671497,25546
2021-03-17,US_NY,6582,62,0,1762032,48686
2021-03-17,US_NY_NYC,3170,45,0,674667,25591
2021-03-18,US_NY,5515,87,0,1767547,48773
2021-03-18,US_NY_NYC,2915,59,0,677582,25650
2021-03-19,US_NY,5077,75,0,1772624,48848
2021-03-19,US_NY_NYC,3048,45,0,680630,25695
2021-03-20,US_NY,6667,68,0,1779291,48916
2021-03-20,US_NY_NYC,2157,49,0,682787,25744
2021-03-21,US_NY,3735,26,0,1783026,48942
